del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS1157;79;14324;11998;566;632;4957;3783;1174;423;275;148;4534;3508;1026;1843;879;16;466;260;134;327;588;21;2682;5025;3717;533;11957
TS1158;324;39378;9273;1460;955;13860;10376;3484;1536;1005;531;12324;9371;2953;6259;1837;97;1253;635;328;643;1178;94;9508;13818;8910;1239;33475
TS1159;269;20169;20169;692;552;7785;5409;2376;1044;742;302;6741;4667;2074;2981;1462;38;527;297;218;410;724;84;4927;6947;4505;629;17008
TS115A;103;41846;32611;1432;3729;16483;11595;4888;2410;1487;923;14073;10108;3965;3200;4430;106;1084;1368;543;1450;1711;181;7567;14404;11161;2094;35226
TS115B;147;33599;15670;1278;876;13473;9486;3987;1448;924;524;12025;8562;3463;3805;3239;103;1117;903;434;1245;1107;72;7155;11516;8369;1320;28360
TS115C;139;33897;19943;940;1944;13764;9052;4712;1495;894;601;12269;8158;4111;2921;3708;95;1026;1117;464;1314;1460;164;5604;12046;9361;1435;28446
TS115D;309;55489;18856;2064;3310;22137;14984;7153;2702;1731;971;19435;13253;6182;2361;7977;144;1398;1637;895;2157;2577;289;9718;19194;14873;2701;46486
TS115E;143;27846;10311;743;1028;10176;7627;2549;1181;803;378;8995;6824;2171;2239;3035;61;550;468;457;1091;977;117;5808;10067;6388;1040;23303
TS115F;323;95468;63116;3027;5265;35074;27014;8060;3716;2470;1246;31358;24544;6814;2497;2828;99;3685;3061;1837;13879;3098;374;16981;32740;24663;5321;79705
TS1160;329;34367;16037;3201;2189;13059;9164;3895;2128;1492;636;10931;7672;3259;1362;2966;166;1166;660;568;1090;2852;101;6989;10726;9403;1962;29080
TS1161;356;20765;9002;544;940;8119;5395;2724;1326;867;459;6793;4528;2265;1920;1953;33;876;300;259;439;965;48;5691;6708;4315;641;17355
TS1162;649;21508;11033;766;1638;7633;5975;1658;1692;1200;492;5941;4775;1166;1313;2343;25;481;314;225;378;795;67;4704;7585;4911;626;17825
TS1163;916;43678;19315;2117;1523;16598;11506;5092;3895;2584;1311;12703;8922;3781;2637;3703;82;1379;1134;648;997;1969;154;10378;14032;11114;1477;37001
TS1164;340;28550;5027;1030;610;8806;6470;2336;2901;1745;1156;5905;4725;1180;1598;867;20;1318;460;189;365;994;94;10850;6921;4062;698;22531
TS1165;178;12095;0;307;280;3919;2793;1126;669;422;247;3250;2371;879;1258;380;4;755;143;78;142;451;39;3950;3980;1818;225;9973
TS1170;49;75234;71492;9488;4478;25438;18406;7032;2674;1763;911;22764;16643;6121;584;5063;480;2062;2520;1759;3245;6848;203;8703;19147;27362;8889;64100
TS1171;88;24428;24428;1349;3858;8014;5603;2411;1278;848;430;6736;4755;1981;212;2266;182;582;771;367;691;1546;119;2481;7034;8150;3307;20972
TS1172;426;45227;18451;1058;2293;15911;12128;3783;2848;2019;829;13063;10109;2954;1494;3641;133;2653;762;647;1152;2415;166;10762;15282;10594;1250;37888
TS1173;627;42156;4737;1904;754;11489;9857;1632;3125;2407;718;8364;7450;914;1717;535;60;2535;678;359;451;1940;89;15489;11420;6958;885;34752
TS1174;563;35213;0;1605;739;10784;8655;2129;2239;1693;546;8545;6962;1583;3224;712;29;2103;368;167;918;876;148;11737;11080;5937;753;29507
